Country,Tier 1 (label),Tier 2 (label),Tier 3 (label),Tier 4 (label),Tier 5 (label),Tier 1 (norm),Tier 2 (norm),Tier 3 (norm),Tier 4 (norm),Tier 5 (norm),Aggregate index
Afghanistan,0.67,4.5,6.79,,,0.57,0.92,1,,,0.83
Algeria,0.05,0.13,0.29,,,0.27,0.4,0.56,,,0.41
Angola,0.22,0.17,,,,0.44,0.45,,,,0.45
Argentina,,,,,,,,,,,
Australia,0.02,,,0.02,0.02,0.15,,,0.16,0.08,0.13
Austria,,,0.01,0.01,0.01,,,0.03,0.07,0.04,0.05
Azerbaijan,0.09,0.32,0.66,,,0.34,0.54,0.67,,,0.52
Bangladesh,0.57,1.26,,,,0.55,0.73,,,,0.64
Belarus,0.01,0.03,,,,0.13,0.19,,,,0.16
Belgium,,,,,0.01,,,,,0.04,0.04
Benin,0.91,2.65,,,,0.6,0.84,,,,0.72
Bolivia,0.22,0.67,1.57,,,0.44,0.64,0.79,,,0.63
Brazil,0.03,0.03,0.05,0.05,0.13,0.21,0.21,0.3,0.35,0.43,0.3
Bulgaria,,,,0.02,0.03,,,,0.18,0.17,0.17
Burkina Faso,0.96,4.36,,,,0.61,0.91,,,,0.76
Burundi,12.38,,,,,0.9,,,,,0.9
Cambodia,0.51,1.12,1.51,,,0.54,0.72,0.79,,,0.68
Cameroon,1.74,2.4,,,,0.68,0.83,,,,0.75
Canada,,,0.02,0.02,0.03,,,0.16,0.17,0.15,0.16
Chile,0.02,0.03,0.03,0.04,0.06,0.15,0.18,0.25,0.31,0.3,0.24
China,,,0.03,0.05,,,,0.25,0.35,,0.3
Colombia,0.04,0.05,0.09,,,0.25,0.26,0.39,,,0.3
Ivory Coast,0.38,0.86,0.9,,,0.5,0.68,0.72,,,0.63
Czech Republic,,0.01,0.01,0.01,0.02,,0.07,0.1,0.15,0.08,0.1
Denmark,,,0.01,0.01,0.01,,,0.05,0.06,0,0.03
Dominican Republic,0.04,0.09,0.19,0.5,1.03,0.26,0.35,0.5,0.74,0.8,0.53
Ecuador,,0.06,0.1,0.22,,,0.29,0.41,0.6,,0.43
Egypt,0.06,0.13,0.18,0.69,1.05,0.29,0.41,0.49,0.79,0.8,0.56
El Salvador,0.06,0.11,0.15,,,0.3,0.38,0.46,,,0.38
Ethiopia,0.73,1.07,,,,0.58,0.71,,,,0.64
Finland,,,0.01,0.01,0.01,,,0.07,0.08,0.01,0.05
France,,,0.01,0.01,,,,0.06,0,,0.03
Germany,0.01,,0.01,0.01,0.02,0.08,,0.07,0.09,0.07,0.08
Ghana,0.74,,,,,0.58,,,,,0.58
Greece,,0.02,,0.02,0.03,,0.17,,0.19,0.14,0.16
Guatemala,0.09,0.17,0.28,,,0.34,0.45,0.55,,,0.45
Haiti,1.34,2.12,,,,0.65,0.81,,,,0.73
Honduras,0.12,0.23,0.3,,,0.37,0.49,0.56,,,0.47
Hong Kong,,,,,0.01,,,,,0.03,0.03
Hungary,,,0.02,0.03,0.03,,,0.2,0.26,0.19,0.22
India,,0.13,0.26,0.29,0.44,,0.4,0.54,0.65,0.65,0.56
Indonesia,0.15,0.18,0.14,0.26,0.74,0.39,0.46,0.45,0.63,0.74,0.53
Iran,,,,,,,,,,,
Israel,,,,0.01,0.01,,,,0.08,0.03,0.05
Italy,,,0.01,0.01,0.02,,,0.05,0.12,0.1,0.09
Japan,0.01,,0.01,0.01,0.01,0.09,,0.1,0.08,0.04,0.08
Jordan,0.05,0.09,0.19,0.13,,0.28,0.35,0.5,0.51,,0.41
Kenya,0.63,1.1,0.86,1.53,,0.56,0.71,0.71,0.93,,0.73
South Korea,,,0.02,,0.01,,,0.14,,0.02,0.08
Kyrgyzstan,0.54,,,2.35,0.29,0.54,,,1,0.57,0.7
Lao P.D.R.,0.38,1.14,0.6,,,0.5,0.72,0.66,,,0.63
Libya,,,,,,,,,,,
Madagascar,1.63,,,,,0.67,,,,,0.67
Malaysia,0.04,0.06,0.06,0.08,0.1,0.24,0.31,0.33,0.43,0.38,0.34
Mali,1.02,,,,,0.61,,,,,0.61
Mexico,,0.03,0.05,0.05,0.1,,0.17,0.32,0.36,0.37,0.3
Morocco,,0.05,0.07,0.17,,,0.26,0.36,0.56,,0.39
Nepal,0.26,,0.32,,,0.46,,0.57,,,0.52
Netherlands,,,0.01,0.01,0.02,,,0.07,0.09,0.06,0.07
Nicaragua,0.14,0.26,0.38,,,0.39,0.51,0.6,,,0.5
Niger,2.37,8.09,,,,0.71,1,,,,0.86
Nigeria,0.58,0.92,,,,0.55,0.69,,,,0.62
Pakistan,0.12,0.19,0.63,0.87,2.19,0.37,0.46,0.67,0.83,0.93,0.65
Papua New Guinea,29.96,,,,,1,,,,,1
Paraguay,0.35,0.71,2.59,1.99,3.25,0.49,0.65,0.86,0.97,1,0.8
Peru,0.06,0.08,0.16,0.28,0.38,0.28,0.34,0.47,0.64,0.62,0.47
Philippines,0.11,0.14,0.3,0.6,1.58,0.36,0.42,0.56,0.77,0.87,0.6
Poland,,0.01,0.02,0.02,0.02,,0.07,0.14,0.18,0.13,0.13
Portugal,,,,0.01,0.04,,,,0.12,0.21,0.16
Romania,,0.02,,,0.02,,0.11,,,0.09,0.1
Russia,,,0.01,0.01,0.02,,,0,0.1,0.08,0.06
Saudi Arabia,0.02,0.02,,0.03,,0.17,0.14,,0.26,,0.19
Senegal,0.92,,1.3,,,0.6,,0.77,,,0.69
Serbia,,0.04,0.06,0.08,0.16,,0.23,0.33,0.43,0.46,0.36
Sierra Leone,3.63,,,,,0.76,,,,,0.76
Singapore,,,0.01,0.01,0.03,,,0,0.04,0.16,0.07
Slovakia,,,0.01,0.02,0.03,,,0.13,0.16,0.14,0.15
Slovenia,0.02,0.03,0.03,0.04,0.16,0.16,0.17,0.23,0.31,0.46,0.27
South Africa,0.1,0.12,0.17,0.27,0.46,0.35,0.4,0.48,0.63,0.65,0.5
Spain,,,0.02,0.01,0.02,,,0.17,0.1,0.11,0.13
Sri Lanka,0.08,0.15,0.11,,,0.33,0.43,0.42,,,0.39
Sudan,0.38,1.01,,,,0.5,0.7,,,,0.6
Sweden,,0.01,0.01,0.01,0.02,,0.03,0.08,0.07,0.05,0.06
Switzerland,,0.01,0.01,0.01,0.02,,0.02,0.06,0.12,0.09,0.07
Syria,0.09,0.27,,,,0.34,0.51,,,,0.43
Taiwan,0,0.01,0.01,0.02,0.02,0,0.03,0.14,0.17,0.12,0.09
Tajikistan,1.23,2.73,2.66,,,0.64,0.84,0.87,,,0.78
Tanzania,3.75,5.35,,,,0.76,0.94,,,,0.85
Thailand,,,0.04,0.1,0.48,,,0.28,0.47,0.66,0.47
Tunisia,0.05,0.05,0.09,0.13,,0.26,0.28,0.39,0.51,,0.36
Uganda,3.59,4.98,,,,0.76,0.93,,,,0.84
Ukraine,0.03,0.04,0.04,0.06,0.04,0.22,0.24,0.28,0.39,0.24,0.27
United Arab Emirates,0.02,,0.02,0.03,0.19,0.17,,0.21,0.28,0.49,0.29
United Kingdom,,,,0.01,0.01,,,,0.01,0.02,0.01
United States,,0.01,0.01,0.01,0.02,,0,0.1,0.13,0.11,0.09
Uzbekistan,0.76,2.12,0.45,,,0.58,0.81,0.62,,,0.67
Venezuela,0.01,0.06,0.11,,,0.11,0.3,0.42,,,0.28
Vietnam,,0.04,0.14,,0.57,,0.22,0.45,,0.69,0.45
Yemen,0.51,0.9,,,,0.53,0.69,,,,0.61
Zambia,0.86,,,,,0.59,,,,,0.59
Zimbabwe,,,,,,,,,,,
,,,,,,,,,,,
